;Lane;Task;Verb;NounPhrases;Label;
2719;NWU CR Business Field;Define Parametrization;Define;Parametrization;;
2720;Kunden;create case;create;case;;
2721;Kunden;interviews a patient;;interviews a patient;;
2722;Kunden;integrate in new workflow;integrate in;new workflow;;
2723;Kunden;write report;write;report;;
2724;Reiseveranstalter;search expert;;search expert;;
2725;Reiseveranstalter;receive expertise from expert;receive;expertise from expert;;
2726;Reiseveranstalter;forward expertise;;forward expertise;;
2727;Reiseveranstalter;fills a check;fills;check;;
2728;External Expert;receive request;receive;request;;
2729;External Expert;send an expertise;send;expertise;;
2730;External Expert;receive check;receive;check;;
2731;costume designer;create costume breakdown;create;costume breakdown;;
2732;costume designer;investigation;;investigation;;
2733;costume designer;fit costume to actors;fit;costume to actors;;
2734;costume designer;change costume;change;costume;;
2735;costume designer;department organization;;department organization;;
2736;costume designer;hire people;hire;people;;
2737;costume designer;staff scheduling;;staff scheduling;;
2738;costume designer;set organization;set;organization;;
2739;costume designer;costume planning;;costume planning;;
2740;costume staff;dress actor;;dress actor;;
2741;costume staff;take actor to shooting location;take;actor to shooting location;;
2742;costume staff;check first take of costumes;check;first take of costumes;;
2743;costume staff;check if actor is ready;check;actor;Condition;
2744;costume staff;rehearse;rehearse;;;
2745;costume staff;fix costumes;fix;costumes;;
2746;costume staff;take first shot of scene;take;first shot of scene;;
2747;costume staff;take photo of actor;take;photo of actor;;
2748;costume staff;take notes about clothing details;take;notes about clothing details;;
2749;costume staff;put photo into set book;put;photo into set book;;
2750;costume staff;get actor changed;get;actor;;
2751;costume staff;undress actor;;undress actor;;
2752;costume staff;clean costume;;clean costume;;
2753;PhD Student;Pick up all the receipts;Pick up;receipts;;
2754;PhD Student;student uses personal money;uses;student|personal money;Starts with subject;
2755;PhD Student;tries to find a sponsor;tries;sponsor;;
2756;PhD Office;Gives a quick look to the receipts;Gives;quick look to the receipts;;
2757;Administration office;Check all the informations;Check;informations;;
2758;Administration office;calculate the amount of the repayment;calculate;amount of the repayment;;
2759;Administration office;try to remove funds from the travel fund;try;funds from the travel fund;;
2760;Administration office;Remove funds from the travel fund;Remove;funds from the travel fund;;
2761;Administration office;makes the repayment to the bank account of the student;makes;repayment to the bank account|student;;
2762;Advisor;Check study plan;Check;study plan;;
2763;Phd office;Commission evaluation;;Commission evaluation;;
2764;Phd office;Courses scheduling;;Courses scheduling;;
2765;Phd office;Publishing courses information;;Publishing courses information;;
2766;Phd office;check the study plan;check;study plan;;
2767;Phd office;Check study plan;Check;study plan;;
2768;Phd office;reject study plan;reject;study plan;;
2769;Phd student;Create study plan;Create;study plan;;
2770;Phd student;give up;give up;;;
2771;Phd student;Try to make another one;Try;one;;
2772;Phd student;change study plan;change;study plan;;
2773;PhD Student;Request a certification;Request;certification;;
2774;PhD Student;Check form data;Check;form data;;
2775;PhD Student;compile and sign the documents;compile;documents;Conjunctive clause;
2776;PhD office;choose the correct certification;choose;correct certification;;
2777;PhD office;Prepares the certificate;Prepares;certificate;;
2778;PhD office;Compile the form;Compile;form;;
2779;Departement assistant;sign the document;sign;document;;
2780;PhD student;Pick up all the recipts;Pick up;recipts;;
2781;PhD student;Must found more funds;found;more funds;Starts with subject;
2782;PhD student;use my money;use;money;;
2783;PhD student;Fund procedure;;Fund procedure;;
2784;PhD office;Gives a quick look to the recipts;Gives;quick look to the recipts;;
2785;PhD office;try to remove fund from the travel fund;try;fund from the travel fund;;
2786;PhD office;Remove found from the travel founds;Remove found from;travel founds;;
2787;PhD office;Remove found from the travel found;Remove found from;travel;;
2788;Administration office;Check all the informations of the recipts;Check;informations of the recipts;;
2789;Administration office;Calcuate the amont of the repayment;Calcuate;amont of the repayment;;
2790;Administration office;take up the fund of the travel funder;take up;fund of the travel funder;;
2791;Administration office;make the repayment to the bank account of the student;make;repayment to the bank account|student;;
2792;Phd Office;Prepare all the document;Prepare;document;;
2793;Phd Office;Prepare contract;Prepare;contract;;
2794;Phd Office;Attend to the mark from the professor;Attend to;mark from the professor;;
2795;Phd Office;Send all document to the administration for repayment;Send;document to the administration|repayment;;
2796;Teacher;make the course;make;course;;
2797;Teacher;Evaluate the students;Evaluate;students;;
2798;PhD Office;Attend to the material of the lessons;Attend to;material of the lessons;;
2799;PhD Office;Attend to the mark;Attend to;mark;;
2800;PhD Office;Send document for the payment to the administration;Send;document for the payment|administration;;
2801;Teacher;prepare the material for the lessons;prepare;material for the lessons;;
2802;Teacher;evaluate student's exam;evaluate;student|exam;;
2803;PhD Student;Fill the correct form;Fill;correct form;;
2804;PhD Student;send the thesis to the exam commission;send;thesis to the exam commission;;
2805;PhD Student;pass the exam and upload thesis ond the website;pass;exam|thesis ond the website;Conjunctive clause;
2806;PhD Central Office;organize all documentationfor the exam;organize;documentationfor the exam;;
2807;PhD Central Office;store the data;store;data;;
2808;Advisor;choose te members of evaluate commission;choose;members of evaluate commission;;
2809;Exam Commission;Evaluate the exam;Evaluate;exam;;
2810;PhD Student;need signature;need;signature;;
2811;Signatory;Sign the document;Sign;document;;
2812;Phd Office;send the documents;send;documents;;
2813;PhD Student;Prepare all the receipts and submit them;Prepare;receipts;Conjunctive clause;
2814;PhD student;Pick up all the receipts;Pick up;receipts;;
2815;PhD office;Gives a quick look to the receipts;Gives;quick look to the receipts;;
2816;PhD student;Must find more funds;find;more funds;Starts with subject;
2817;Administration office;Check all the informations about the recipts;Check;informations about the recipts;;
2818;Loan Order Process;Collect Credit Information;Collect;Credit Information;;
2819;Loan Order Process;Assess Risk;Assess;Risk;;
2820;Loan Order Process;Request Approval;;Request Approval;;
2821;Loan Order Process;Accept Credit;Accept;Credit;;
2822;Loan Order Process;Reject Credit;Reject;Credit;;
2823;customer;Review the Vendors;Review;Vendors;;
2824;customer;Send the RFQ;Send;RFQ;;
2825;customer;Review the Sales Quote;Review;Sales Quote;;
2826;sales;Verify the RFQ;Verify;RFQ;;
2827;sales;Communicate with the Customer;Communicate with;Customer;;
2828;sales;Review pricing options and generate sales quote;generate;Review pricing options|sales quote;Conjunctive clause;
2829;Customer;Submit the insurance claim;Submit;insurance claim;;
2830;Customer Service Representative;Review the claim;Review;claim;;
2831;Customer Service Representative;Communicate with the customer;Communicate with;customer;;
2832;Claim Adjuster;Send Payment;Send;Payment;;
2833;Claim Adjuster;Send rejection letter with explination;Send;rejection letter with explination;;
2834;Supervisor;Evaluate the claim;Evaluate;claim;;
2835;Customer;Delete Order;Delete;Order;;
2836;Customer;Order shipped;shipped;Order;Starts with subject;
2837;Catering service;Order Deleted;Deleted;Order;Starts with subject;
2838;Catering service;Check Payment;Check;Payment;;
2839;Booking service;Check booking request;Check;booking request;;
2840;Booking service;group travel - to be handled manually;handled;group travel;Comment;
2841;Booking service;transaction canceled;canceled;transaction;Starts with subject;
2842;Booking service;bookings succeeded;succeeded;bookings;Starts with subject;
2843;Booking service;attraction booking succeeded;succeeded;attraction booking;Starts with subject;
2844;Traveller;travel choice;;travel choice;;
2845;Traveller;change reservations;change;reservations;;
2846;Traveller;cancel reservations;cancel;reservations;;
2847;Traveller;booking completed - payment;booking completed;payment;Comment;
2848;Bank;start secure connection;start;secure connection;;
2849;Bank;payment authorization request;;payment authorization request;;
2850;Bank;send payment confirmation;send;payment confirmation;;
2851;Booking Service;check request;check;request;;
2852;Booking Service;book attraction;;book attraction;;
2853;Booking Service;handle booking manually;handle;booking;;
2854;Booking Service;handle request manually;handle;request;;
2855;Client;send selected travel;send selected;travel;;
2856;Client;receive confirmation;receive;confirmation;;
2857;Client;cancel confirmation;cancel;confirmation;;
2858;Booking Service;Write log message;Write;log message;;
2859;Traveller;Ask for booking;Ask for;booking;;
2860;Traveller;Booking service unavailable;;Booking service;;
2861;Traveller;Booking Succeded;;Booking;;
2862;Insurance Company;process payment;;process payment;;
2863;Insurance Company;choose company with the best intervention time;choose;company with the best intervention time;;
2864;Insurance Company;wait for intervention notification;wait for;intervention notification;;
2865;Insurance Company;check customer's insurance policy;check;customer|insurance policy;;
2866;Breakdown service company;send intervention time evaluation;send;intervention time evaluation;;
2867;Breakdown service company;send breakdown truck;send;breakdown truck;;
2868;Breakdown service company;notify transport concluded;notify;transport;;
2869;Customer;examine damage;examine;damage;;
2870;Customer;explain solution;explain;solution;;
2871;Customer;wait truck notify;wait;truck notify;;
2872;Customer;receive medical support;receive;medical support;;
2873;Customer;wait repair shop notify;wait;repair shop notify;;
2874;Insurance Company;open/handle dossier;;handle dossier;;
2875;Clinic;calculate estimate;calculate;estimate;;
2876;Clinic;provide healthcare service;provide;healthcare service;;
2877;Clinic;discharge patient;;discharge patient;;
2878;Insurance Company;check customer's domicile;check;customer|domicile;;
2879;Insurance Company;find closest healthcare providers covered by the insurance;find;closest healthcare providers|insurance;;
2880;Insurance Company;contact healthcare provider;contact;healthcare provider;;
2881;Insurance Company;approve;approve;;;
2882;Insurance Company;send specialistic staff;send;specialistic staff;;
2883;Insurance Company;carry out assesments;carry out;assesments;;
2884;Insurance Company;refuse;refuse;;;
2885;Insurance company;check accident position;check;accident position;;
2886;Insurance company;ask position;ask;position;;
2887;Insurance company;notify repair shops list;notify;repair shops list;;
2888;Insurance company;send car to repair shop;send;car to repair shop;;
2889;Insurance company;accept;accept;;;
2890;Insurance company;send expert;send;expert;;
2891;Insurance company;calculate damage;calculate;damage;;
2892;Insurance company;refuse;refuse;;;
2893;Insurance company;process payment;;process payment;;
2894;Repair shop;calculate repair price estimation;calculate;repair price estimation;;
2895;Repair shop;repair car;;repair car;;
2896;Repair shop;notify reparation concluded;notify;reparation;;
2897;Customer;Review Process and Send RFQ;Send;Review Process|RFQ;Conjunctive clause;
2898;Supplier;Send Purchase order;Send;Purchase order;;
2899;Supplier;Send PO;Send;PO;;
2900;Supplier;Send Invoice;Send;Invoice;;
2901;Supplier;Payment Received;Received;Payment;Starts with subject;
2902;Warehouse;purchase requisition;purchase;requisition;;
2903;Warehouse;Receive PO;Receive;PO;;
2904;Warehouse;Goods Receipt Received;Received;Goods Receipt;Starts with subject;
2905;Accounting;Goods Receipt Received;Received;Goods Receipt;Starts with subject;
2906;Accounting;Receive Invoice;Receive;Invoice;;
2907;Accounting;Send Payment;Send;Payment;;
2908;Purchasing;Receive Requisition;Receive;Requisition;;
2909;Purchasing;Select Vendor;Select;Vendor;;
2910;Supplier;Create an invoice;Create;invoice;;
2911;Supplier;Send ordered Materials;Send ordered;Materials;;
2912;Supplier;Process Paymement;;Process Paymement;;
2913;Student;Pick up drop class form;Pick up;drop class form;;
2914;Student;Bring drop form to registrar's office;Bring;drop form to registrar|office;;
2915;Student;See professor have the form signed.;See;professor|form;;
2916;Student;See adviser have the form signed.;See;adviser|form;;
